               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12811,            0.024365,            0.025985,           0.0019608,            0.026316,           0.0027575,           0.0011037,             0.10333,            0.026236,            0.016933,               0.082,               0.002,               0.002
                   1,             0.10004,            0.021216,            0.013767,             0.67595,             0.10526,             0.21592,            0.072211,            0.088401,            0.023451,           0.0080418,            0.063059,           0.0040594,           0.0040594
                   2,            0.098243,            0.017157,           0.0096707,              0.1896,             0.18421,             0.11673,            0.023571,            0.098304,            0.020307,           0.0059737,            0.044077,           0.0060772,           0.0060772
                   3,            0.088586,             0.01728,           0.0080944,             0.33421,             0.37461,             0.28247,             0.08572,            0.083297,            0.023339,           0.0058324,            0.025053,           0.0080535,           0.0080535
                   4,            0.081702,            0.015616,           0.0061202,             0.21988,             0.35449,              0.1928,            0.067027,            0.089055,            0.029066,           0.0061644,            0.009604,            0.009604,            0.009604
                   5,            0.074287,            0.014017,           0.0054344,             0.31965,             0.43386,             0.34774,              0.1552,            0.073074,            0.049849,            0.010412,            0.009604,            0.009604,            0.009604
                   6,            0.069764,            0.013472,           0.0049108,             0.41462,             0.56037,             0.40148,             0.18996,            0.070392,            0.022893,            0.018932,            0.009505,            0.009505,            0.009505
                   7,            0.064204,            0.012173,           0.0044657,             0.41121,             0.63211,              0.4837,             0.20633,            0.061227,            0.018751,            0.014047,            0.009406,            0.009406,            0.009406
                   8,            0.061292,             0.01215,            0.003919,             0.70422,             0.56656,             0.55422,               0.299,            0.055705,            0.018012,           0.0053102,            0.009307,            0.009307,            0.009307
                   9,             0.05799,            0.011507,           0.0037011,              0.5228,             0.71548,             0.64667,             0.28274,            0.053435,            0.020557,            0.006113,            0.009208,            0.009208,            0.009208
                  10,            0.057788,            0.011601,           0.0037062,             0.68343,             0.54592,             0.63348,             0.30713,            0.055232,            0.017243,           0.0051342,            0.009109,            0.009109,            0.009109
                  11,            0.055277,            0.011044,           0.0031438,             0.71232,             0.65838,             0.67357,             0.32144,            0.050593,            0.017414,           0.0086071,             0.00901,             0.00901,             0.00901
                  12,            0.054423,            0.011041,           0.0027841,             0.81322,             0.56736,             0.65683,             0.32543,            0.055114,              0.0164,           0.0057051,            0.008911,            0.008911,            0.008911
                  13,            0.052675,            0.010863,           0.0032039,             0.77235,             0.61593,             0.74728,             0.35931,            0.047112,             0.01479,           0.0033011,            0.008812,            0.008812,            0.008812
                  14,            0.049958,            0.010423,           0.0027578,             0.57389,              0.6833,             0.66884,             0.32981,            0.047971,            0.019311,           0.0041847,            0.008713,            0.008713,            0.008713
                  15,            0.050096,            0.010087,           0.0027413,             0.77029,             0.46233,             0.55387,              0.2772,            0.053632,            0.024424,           0.0081504,            0.008614,            0.008614,            0.008614
                  16,             0.04725,            0.010239,           0.0026931,             0.74511,             0.45581,             0.59212,              0.2468,            0.054671,             0.02287,           0.0061264,            0.008515,            0.008515,            0.008515
                  17,            0.047599,            0.010205,           0.0027274,              0.7842,             0.56037,             0.66108,             0.33326,            0.045972,            0.018428,           0.0047916,            0.008416,            0.008416,            0.008416
                  18,            0.047553,            0.010228,            0.002534,             0.81979,             0.44688,             0.59536,             0.27362,            0.054626,            0.020431,           0.0067412,            0.008317,            0.008317,            0.008317
                  19,            0.046312,           0.0097869,           0.0023582,             0.84731,              0.4935,             0.62042,             0.27844,            0.050188,            0.021612,           0.0067296,            0.008218,            0.008218,            0.008218
                  20,            0.045026,           0.0091386,           0.0024048,             0.71807,              0.4393,              0.5748,              0.3303,            0.051796,            0.022397,           0.0075478,            0.008119,            0.008119,            0.008119
                  21,            0.045205,           0.0092172,            0.002351,             0.87593,              0.4257,             0.57282,             0.31045,            0.051017,            0.020276,           0.0061353,             0.00802,             0.00802,             0.00802
                  22,            0.043724,           0.0097388,           0.0025222,             0.69042,             0.56347,             0.60983,             0.28662,            0.051581,            0.018187,           0.0062526,            0.007921,            0.007921,            0.007921
                  23,             0.04465,           0.0095681,             0.00242,             0.75557,             0.69505,             0.63169,             0.37849,            0.049455,            0.016426,           0.0072145,            0.007822,            0.007822,            0.007822
                  24,             0.04198,           0.0092482,           0.0021902,             0.79523,             0.58365,             0.60844,              0.2822,            0.055124,            0.017365,           0.0097461,            0.007723,            0.007723,            0.007723
                  25,            0.042381,           0.0088266,           0.0025228,             0.83659,             0.57718,             0.65301,             0.39409,            0.045919,            0.020396,           0.0073017,            0.007624,            0.007624,            0.007624
                  26,            0.041996,            0.009276,           0.0020333,             0.82512,             0.60921,             0.68183,             0.36741,            0.046034,            0.019751,           0.0054365,            0.007525,            0.007525,            0.007525
                  27,            0.041187,            0.009058,           0.0020949,             0.88032,             0.56117,             0.60732,             0.27511,            0.051796,            0.024754,           0.0069091,            0.007426,            0.007426,            0.007426
                  28,            0.040211,           0.0089093,           0.0021891,             0.88183,             0.41673,             0.50936,             0.22469,             0.05512,            0.025061,             0.00656,            0.007327,            0.007327,            0.007327
                  29,            0.040072,           0.0087609,           0.0022017,               0.843,             0.50526,             0.60708,             0.32545,            0.051639,            0.021247,           0.0060109,            0.007228,            0.007228,            0.007228
                  30,            0.039824,           0.0085766,           0.0023068,              0.8299,             0.53001,             0.54372,             0.26956,            0.058749,            0.027951,            0.016124,            0.007129,            0.007129,            0.007129
                  31,            0.038429,            0.008809,           0.0019222,             0.81345,             0.56656,             0.63205,             0.30824,            0.051937,            0.022689,           0.0069468,             0.00703,             0.00703,             0.00703
                  32,            0.038285,            0.008276,           0.0019606,             0.93331,             0.65304,             0.71259,             0.35226,            0.047656,            0.019787,           0.0059368,            0.006931,            0.006931,            0.006931
                  33,            0.038292,           0.0081834,           0.0018583,             0.78861,             0.70429,             0.70627,             0.38314,            0.045755,            0.019551,           0.0061385,            0.006832,            0.006832,            0.006832
                  34,            0.037719,            0.008545,            0.001882,              0.8427,              0.6192,             0.66353,             0.35837,            0.045286,            0.019429,           0.0044941,            0.006733,            0.006733,            0.006733
                  35,            0.038268,           0.0083056,            0.001897,             0.81834,             0.59537,             0.67368,             0.34215,            0.046437,            0.021102,           0.0056498,            0.006634,            0.006634,            0.006634
                  36,            0.036708,           0.0076783,           0.0019623,             0.90384,             0.67413,             0.74886,             0.37725,            0.045327,            0.017616,           0.0041504,            0.006535,            0.006535,            0.006535
                  37,            0.035656,           0.0082742,           0.0020071,             0.75068,              0.4951,             0.53427,             0.30171,            0.055278,             0.02461,           0.0094211,            0.006436,            0.006436,            0.006436
                  38,            0.037476,           0.0082898,           0.0018668,             0.89599,              0.7226,             0.75453,             0.38118,            0.041957,             0.01552,           0.0038517,            0.006337,            0.006337,            0.006337
                  39,            0.037189,           0.0082719,           0.0018838,              0.9573,             0.71815,             0.83671,             0.45998,             0.03948,            0.014164,           0.0039189,            0.006238,            0.006238,            0.006238
                  40,             0.03673,           0.0081612,           0.0017784,             0.83803,             0.55622,             0.68115,             0.35839,            0.045506,            0.021742,           0.0048554,            0.006139,            0.006139,            0.006139
                  41,            0.035371,           0.0080647,           0.0016203,              0.9056,             0.56166,             0.71997,             0.36814,            0.044775,            0.022042,           0.0043589,             0.00604,             0.00604,             0.00604
                  42,            0.036222,           0.0080968,           0.0018091,             0.86509,             0.66465,             0.73154,              0.3848,            0.042764,            0.017557,           0.0024575,            0.005941,            0.005941,            0.005941
                  43,            0.035981,           0.0080124,           0.0017992,             0.87491,             0.67866,             0.78171,             0.43737,            0.040372,            0.017509,           0.0032377,            0.005842,            0.005842,            0.005842
                  44,            0.034045,           0.0078045,           0.0016903,             0.79008,             0.58978,             0.65702,             0.35319,            0.042101,            0.021245,           0.0036739,            0.005743,            0.005743,            0.005743
                  45,            0.033943,           0.0082484,           0.0016263,             0.81658,             0.65315,             0.72412,             0.39665,            0.040084,            0.018115,           0.0035906,            0.005644,            0.005644,            0.005644
                  46,            0.034114,            0.007744,           0.0018375,             0.85101,             0.64089,             0.70407,             0.36917,            0.042343,            0.019845,           0.0054883,            0.005545,            0.005545,            0.005545
                  47,            0.033348,            0.007379,           0.0016569,             0.69448,             0.57625,             0.61978,             0.35617,            0.049043,            0.023474,           0.0070277,            0.005446,            0.005446,            0.005446
                  48,            0.033375,           0.0075819,           0.0016879,              0.7782,             0.62544,             0.67509,             0.37357,            0.046355,            0.019584,           0.0058748,            0.005347,            0.005347,            0.005347
                  49,            0.034053,           0.0078172,           0.0017366,             0.73427,             0.57507,             0.59889,             0.31035,            0.046448,            0.025186,           0.0060814,            0.005248,            0.005248,            0.005248
                  50,            0.033264,           0.0074121,           0.0015938,             0.80825,             0.47998,             0.48617,             0.26358,            0.058505,            0.028406,            0.011069,            0.005149,            0.005149,            0.005149
                  51,            0.032408,           0.0079181,           0.0015487,             0.89606,             0.49631,             0.57417,             0.31176,            0.054043,             0.02687,           0.0097788,             0.00505,             0.00505,             0.00505
                  52,            0.030684,           0.0071965,           0.0014718,              0.9309,             0.54861,             0.62862,             0.36774,            0.045596,            0.026475,           0.0066807,            0.004951,            0.004951,            0.004951
                  53,            0.031986,             0.00739,           0.0017914,             0.81155,             0.53856,             0.57014,             0.30168,            0.054537,            0.031724,           0.0096383,            0.004852,            0.004852,            0.004852
                  54,            0.031754,           0.0074234,           0.0016507,             0.84509,             0.51262,             0.55369,             0.30958,            0.051103,            0.027765,           0.0080716,            0.004753,            0.004753,            0.004753
                  55,            0.031749,           0.0078124,           0.0016202,             0.87685,             0.53715,             0.58214,             0.32013,             0.04741,            0.026269,           0.0074499,            0.004654,            0.004654,            0.004654
                  56,            0.030896,           0.0073441,           0.0016125,             0.85932,             0.50565,             0.56951,              0.2923,            0.055063,            0.028018,           0.0094669,            0.004555,            0.004555,            0.004555
                  57,            0.030896,           0.0070103,           0.0015698,             0.87067,             0.59804,             0.64187,             0.37338,             0.04646,            0.024106,           0.0065365,            0.004456,            0.004456,            0.004456
                  58,             0.03054,           0.0071271,              0.0017,              0.8575,             0.59288,             0.68743,             0.37907,            0.042123,            0.021924,            0.004361,            0.004357,            0.004357,            0.004357
                  59,            0.030696,           0.0074767,            0.001532,             0.87232,             0.67183,              0.7718,             0.43501,            0.037306,            0.017016,           0.0033278,            0.004258,            0.004258,            0.004258
                  60,            0.030236,           0.0073868,           0.0015912,             0.86716,             0.69753,             0.80237,             0.47195,            0.037479,            0.016887,           0.0038935,            0.004159,            0.004159,            0.004159
                  61,            0.030436,           0.0072614,           0.0015354,              0.8993,             0.59972,             0.66102,              0.3586,            0.045982,            0.023308,           0.0045532,             0.00406,             0.00406,             0.00406
                  62,            0.030008,            0.007166,            0.001669,             0.87703,             0.66031,             0.78023,             0.42657,            0.039564,            0.017365,            0.003699,            0.003961,            0.003961,            0.003961
                  63,            0.030165,           0.0072775,           0.0014444,             0.87313,             0.64798,             0.70223,             0.43436,            0.041781,            0.019585,            0.004564,            0.003862,            0.003862,            0.003862
                  64,            0.028936,            0.007143,           0.0014511,             0.65391,             0.67492,             0.70899,             0.38462,             0.04358,            0.023475,            0.004944,            0.003763,            0.003763,            0.003763
                  65,            0.029201,           0.0071139,            0.001477,             0.85019,             0.66777,             0.77761,             0.43244,            0.040945,            0.018005,           0.0038983,            0.003664,            0.003664,            0.003664
                  66,            0.028389,           0.0068616,           0.0014858,             0.81681,             0.76908,             0.83718,             0.47347,            0.039386,            0.015034,           0.0034116,            0.003565,            0.003565,            0.003565
                  67,            0.027955,           0.0068542,           0.0014022,              0.8064,             0.77709,             0.81534,             0.46232,            0.039233,            0.014124,           0.0035469,            0.003466,            0.003466,            0.003466
                  68,            0.026736,           0.0066301,            0.001322,             0.87517,              0.6595,             0.77858,              0.4257,            0.041272,            0.019163,           0.0046714,            0.003367,            0.003367,            0.003367
                  69,            0.028503,           0.0067584,           0.0014406,             0.86988,             0.59371,             0.66805,             0.35434,            0.046039,            0.022665,           0.0049525,            0.003268,            0.003268,            0.003268
                  70,            0.027095,           0.0066906,           0.0013706,             0.84066,             0.61072,             0.66348,              0.3619,            0.045308,            0.022696,           0.0040663,            0.003169,            0.003169,            0.003169
                  71,            0.026962,           0.0067842,           0.0013851,             0.89172,             0.64258,             0.69524,             0.40106,            0.041428,            0.021992,           0.0036908,             0.00307,             0.00307,             0.00307
                  72,            0.027228,           0.0066705,           0.0012708,             0.83176,             0.69496,             0.70249,             0.38368,            0.043457,            0.021471,           0.0039859,            0.002971,            0.002971,            0.002971
                  73,             0.02696,           0.0066766,           0.0012665,             0.92614,             0.65063,             0.72477,             0.42532,            0.040881,            0.020492,            0.003683,            0.002872,            0.002872,            0.002872
                  74,              0.0274,           0.0067876,           0.0013562,              0.8762,             0.56347,              0.6319,             0.36196,            0.046405,            0.025355,           0.0051327,            0.002773,            0.002773,            0.002773
                  75,            0.026455,            0.006553,            0.001444,             0.89154,             0.57731,             0.70392,             0.39358,            0.045637,            0.024132,           0.0050957,            0.002674,            0.002674,            0.002674
                  76,             0.02672,           0.0065614,             0.00143,             0.91603,             0.65968,             0.75846,             0.43714,            0.041211,            0.021274,           0.0041316,            0.002575,            0.002575,            0.002575
                  77,            0.026613,           0.0066693,           0.0013554,             0.89084,             0.68457,             0.81157,             0.48822,            0.037208,            0.017391,           0.0032554,            0.002476,            0.002476,            0.002476
                  78,            0.025845,           0.0067952,           0.0012252,             0.88181,             0.72823,             0.83161,             0.48746,            0.037719,             0.01701,            0.002914,            0.002377,            0.002377,            0.002377
                  79,            0.025834,           0.0064892,           0.0012259,             0.85407,             0.55535,             0.69515,             0.42008,            0.045137,            0.025284,           0.0048776,            0.002278,            0.002278,            0.002278
                  80,            0.025518,           0.0064451,           0.0013391,             0.90073,             0.56517,             0.64488,             0.37094,            0.046422,            0.026463,           0.0054424,            0.002179,            0.002179,            0.002179
                  81,            0.026007,           0.0061296,           0.0013432,               0.905,             0.66517,             0.73355,             0.42768,            0.042076,            0.021349,           0.0035392,             0.00208,             0.00208,             0.00208
                  82,            0.025487,            0.006372,           0.0012423,             0.85416,             0.58481,             0.66809,              0.3982,            0.046184,            0.023894,           0.0051909,            0.001981,            0.001981,            0.001981
                  83,            0.024331,           0.0063429,           0.0011538,             0.88087,             0.63404,             0.67341,             0.37914,            0.046809,            0.024291,           0.0059261,            0.001882,            0.001882,            0.001882
                  84,            0.025192,           0.0062264,            0.001251,             0.88609,             0.64422,             0.66643,              0.3783,            0.045934,            0.023991,           0.0058007,            0.001783,            0.001783,            0.001783
                  85,            0.024808,           0.0063799,           0.0012747,             0.90602,             0.63947,             0.72172,             0.41654,            0.040578,            0.022128,           0.0041367,            0.001684,            0.001684,            0.001684
                  86,            0.025102,           0.0063398,           0.0012231,             0.91095,             0.64861,             0.71988,             0.42167,            0.041175,            0.022607,           0.0039156,            0.001585,            0.001585,            0.001585
                  87,            0.025315,           0.0061678,           0.0011251,             0.90494,             0.68829,             0.74584,             0.45309,            0.038369,            0.019738,           0.0034139,            0.001486,            0.001486,            0.001486
                  88,            0.023857,            0.006321,           0.0011799,             0.90057,             0.68248,             0.74577,             0.44493,            0.039155,            0.019899,           0.0033127,            0.001387,            0.001387,            0.001387
                  89,            0.024914,           0.0062174,           0.0011688,             0.87167,             0.68394,             0.73198,             0.41771,            0.043057,            0.021489,           0.0041347,            0.001288,            0.001288,            0.001288
                  90,            0.023717,           0.0059839,           0.0011605,             0.88681,             0.63008,             0.72622,             0.41258,            0.044552,             0.02256,           0.0047415,            0.001189,            0.001189,            0.001189
                  91,            0.023551,           0.0060223,           0.0011878,             0.86909,             0.63895,             0.70318,              0.4059,             0.04545,            0.022913,           0.0048309,             0.00109,             0.00109,             0.00109
                  92,            0.023301,           0.0062174,           0.0012434,             0.86848,             0.64195,             0.69948,              0.4066,            0.044643,            0.022872,           0.0044693,            0.000991,            0.000991,            0.000991
                  93,            0.024068,           0.0062692,            0.001268,             0.89947,              0.6315,              0.7121,              0.4204,            0.042892,            0.021081,           0.0038408,            0.000892,            0.000892,            0.000892
                  94,            0.023838,           0.0061922,           0.0012472,             0.90015,             0.63955,             0.72192,             0.40418,            0.041289,            0.020065,           0.0033216,            0.000793,            0.000793,            0.000793
                  95,            0.023601,           0.0061531,           0.0011484,             0.89928,             0.63595,               0.749,             0.41724,            0.040679,            0.020531,           0.0032104,            0.000694,            0.000694,            0.000694
                  96,            0.023656,           0.0061996,           0.0011942,             0.90092,              0.6192,             0.73673,              0.4198,            0.042518,            0.021879,            0.003761,            0.000595,            0.000595,            0.000595
                  97,             0.02353,           0.0060513,           0.0011345,             0.89926,             0.60633,             0.72861,             0.42337,            0.042935,              0.0225,           0.0041714,            0.000496,            0.000496,            0.000496
                  98,            0.023965,           0.0061562,           0.0011982,             0.84773,             0.64798,             0.74041,             0.43195,            0.042267,            0.022429,           0.0040258,            0.000397,            0.000397,            0.000397
                  99,            0.023503,           0.0061733,           0.0012942,             0.87082,             0.68227,             0.74438,             0.44359,            0.041816,            0.022063,           0.0038748,            0.000298,            0.000298,            0.000298
